mhs	sat	label
1.45	1.37	a
1.53	1.49	a
1.37	1.37	a
1.81	1.77	a
0.58	0.58	a
0.58	0.58	a
1.81	1.81	a
1.81	1.77	a
1.45	1.36	a
1.65	1.61	a
1.57	1.57	a
1.73	1.77	a
1.57	1.61	a
3.01	3.01	a
1.61	1.57	a
4.20	4.32	a
1.41	1.45	a
1.61	1.57	a
3.25	3.29	a
3.25	3.33	a
3.25	3.30	a
3.33	3.29	a
3.29	3.29	a
3.33	3.29	a
2.93	2.93	a
1.41	1.49	a
1.33	1.33	a
1.33	1.41	a
1.49	1.49	a
1.61	1.77	a
1.61	1.69	a
1.65	1.65	a
2.85	2.93	a
0.27	0.27	a
0.27	0.27	a
0.27	0.27	a
0.27	0.27	a
4.05	4.50	a
2.55	2.60	a
1.43	1.39	a
1.37	1.37	a
1.65	1.65	a
1.41	1.37	a
1.37	1.37	a
1.37	1.41	a
1.37	1.41	a
1.65	1.69	a
3.29	3.37	a
1.69	1.77	a
1.65	1.69	a
300.00	300.00	a
1.85	1.97	a
1.65	1.61	a
1.65	1.69	a
1.57	1.49	a
1.85	1.81	a
2.88	2.92	a
5.93	6.12	a
1.73	1.73	a
1.65	1.65	a
1.65	1.73	a
1.69	1.73	a
3.17	3.17	a
3.17	3.17	a
1.61	1.57	a
3.09	3.13	a
3.09	3.09	a
3.05	3.06	a
3.06	3.13	a
3.09	3.18	a
3.13	3.17	a
3.05	3.09	a
1.57	1.57	a
1.61	1.69	a
3.21	3.13	a
3.09	3.13	a
3.17	3.25	a
1.53	1.53	a
1.15	1.19	a
7.86	7.91	a
1.45	1.37	a
3.01	3.13	a
1.37	1.45	a
1.41	1.45	a
2.85	2.73	a
1.73	1.69	a
300.00	300.00	a
1.61	1.65	a
4.22	4.29	a
1.31	1.27	a
1.31	1.27	a
7.63	9.23	a
300.00	225.39	a
1.23	1.19	a
0.25	0.25	a
29.71	46.81	a
0.25	0.25	a
3.13	3.13	a
4.13	4.10	a
2.93	2.89	a
3.05	3.05	a
1.73	1.61	a
1.73	1.61	a
300.00	161.35	a
1.65	1.77	a
1.61	1.61	a
1.61	1.61	a
3.09	3.05	a
1.69	1.73	a
2.17	2.29	a
1.65	1.65	a
1.93	1.93	a
1.65	1.69	a
1.73	1.77	a
1.37	1.37	a
3.69	3.37	a
1.65	1.73	a
1.33	1.33	a
1.69	1.69	a
2.05	2.05	a
3.53	3.57	a
1.77	1.81	a
1.53	1.65	a
1.37	1.41	a
1.57	1.57	a
1.57	1.57	a
1.65	1.69	a
1.61	1.61	a
1.61	1.61	a
1.41	1.41	a
1.49	1.53	a
2.97	3.05	a
1.61	1.61	a
1.37	1.49	a
3.22	3.21	a
1.33	1.45	a
1.40	1.45	a
2.85	2.81	a
3.37	3.37	a
9.51	300.00	a
2.89	2.81	a
3.18	3.09	a
1.69	1.73	a
3.05	3.17	a
11.64	11.64	a
3.09	3.09	a
3.13	3.13	a
3.01	2.97	a
3.13	3.13	a
3.17	3.17	a
2.98	2.97	a
3.01	3.13	a
1.37	1.32	a
50.28	58.24	a
2.29	2.25	a
2.13	2.09	a
2.13	2.13	a
1.85	1.89	a
1.89	1.89	a
2.29	2.25	a
2.25	2.17	a
2.21	2.25	a
3.09	3.17	a
1.45	1.37	a
3.14	3.05	a
3.05	3.09	a
1.36	1.37	a
1.49	1.45	a
1.33	1.36	a
1.41	1.45	a
3.06	3.05	a
1.69	1.69	a
1.69	1.69	a
1.93	1.93	a
6.10	6.06	a
3.06	3.09	a
1.61	1.57	a
1.69	1.69	a
1.41	1.41	a
1.93	1.93	a
3.14	3.14	a
1.85	1.81	a
3.17	3.18	a
1.45	1.40	a
1.73	1.65	a
1.57	1.49	a
1.41	1.45	a
1.41	1.32	a
1.69	1.69	a
1.69	1.69	a
1.65	1.65	a
1.65	1.65	a
1.61	1.69	a
1.85	1.89	a
2.33	2.37	a
300.00	300.00	a
300.00	300.00	a
1.45	1.45	a
1.45	1.45	a
1.53	1.53	a
1.93	1.89	a
3.10	3.09	a
3.05	3.05	a
1.65	1.65	a
1.23	1.15	a
1.57	1.53	a
1.23	1.19	a
1.23	1.11	a
1.65	1.57	a
3.17	3.17	a
3.25	3.21	a
3.05	3.05	a
3.29	3.21	a
3.30	3.21	a
3.29	5.90	a
3.05	3.05	a
3.09	3.05	a
1.61	1.61	a
9.91	13.46	a
1.69	1.77	a
3.13	3.13	a
1.69	1.77	a
3.58	3.54	a
1.19	1.19	a
1.69	1.61	a
1.65	1.69	a
2.33	2.29	a
2.05	2.09	a
2.09	2.05	a
1.41	1.33	a
1.37	1.37	a
1.41	1.49	a
4.01	4.02	a
1.61	1.61	a
3.33	3.29	a
1.77	1.77	a
2.01	2.09	a
1.45	1.45	a
5.46	3.46	a
1.85	1.93	a
2.34	2.33	a
3.85	3.89	a
1.97	2.05	a
2.49	2.45	a
1.53	1.57	a
1.65	1.65	a
1.53	1.61	a
1.69	1.65	a
1.77	1.77	a
1.77	1.73	a
1.69	1.65	a
1.65	1.69	a
1.73	1.73	a
1.73	1.73	a
1.73	1.69	a
14.57	11.19	a
1.45	1.49	a
1.61	1.61	a
1.61	1.57	a
1.57	1.61	a
1.57	1.65	a
1.65	1.69	a
1.57	1.57	a
1.61	1.64	a
1.57	1.69	a
1.85	1.85	a
1.85	1.85	a
1.57	1.57	a
11.85	10.40	a
4.90	2.93	a
1.37	1.45	a
1.45	1.45	a
1.65	1.65	a
1.41	1.49	a
2.81	2.89	a
2.89	2.89	a
2.93	3.05	a
1.53	1.45	a
1.53	1.49	a
14.49	14.08	a
1.37	1.36	a
1.33	1.37	a
1.41	1.37	a
1.37	1.37	a
1.41	1.33	a
5.90	5.82	a
1.93	1.93	a
47.63	46.46	a
1.36	1.32	a
1.37	1.33	a
1.37	1.37	a
1.41	1.37	a
1.85	1.89	a
1.41	1.41	a
1.41	1.36	a
1.37	1.37	a
1.41	1.37	a
3.74	3.78	a
1.69	1.69	a
1.41	1.37	a
1.41	1.41	a
1.53	1.61	a
1.37	1.32	a
1.37	1.41	a
1.85	1.85	a
3.13	3.21	a
300.00	300.00	a
18.21	17.61	a
1.73	1.73	a
