kernel,status,clang,opt,bugle,vcgen,cruncher,boogiedriver,total
/datadrive/gpuverify-tests/OpenCL/multiplelocals2/kernel.cl,PASS,0.383,0.012,0.007,0.455,0.498,0.498,1.853
/datadrive/gpuverify-tests/OpenCL/nonterminating/kernel.cl,PASS,0.416,0.011,0.006,0.375,0.504,0.538,1.849
/datadrive/gpuverify-tests/OpenCL/no_log/pass/kernel.cl,PASS,0.423,0.009,0.006,0.415,0.579,0.548,1.980
/datadrive/gpuverify-tests/OpenCL/no_log/fail/kernel.cl,FAIL(6),0.417,0.009,0.005,0.418,0.619,0.576,2.043
/datadrive/gpuverify-tests/OpenCL/notunaryoptest/kernel.cl,PASS,0.458,0.009,0.005,0.376,0.508,0.456,1.812
/datadrive/gpuverify-tests/OpenCL/notunaryoptest2/kernel.cl,PASS,0.383,0.009,0.005,0.378,0.499,0.497,1.770
/datadrive/gpuverify-tests/OpenCL/noraceduetoreturn/kernel.cl,PASS,0.417,0.025,0.008,0.499,0.779,0.581,2.308
/datadrive/gpuverify-tests/OpenCL/null_pointers/atomic_null/kernel.cl,FAIL(6),0.427,0.019,0.007,0.378,0.498,0.537,1.866
/datadrive/gpuverify-tests/OpenCL/null_pointers/load_from_null/kernel.cl,FAIL(6),0.471,0.015,0.010,0.417,0.538,0.624,2.075
/datadrive/gpuverify-tests/OpenCL/null_pointers/non_null_pointer_assignment_2/kernel.cl,PASS,0.424,0.009,0.007,0.498,0.576,0.542,2.055
/datadrive/gpuverify-tests/OpenCL/null_pointers/function_prototype/kernel.cl,FAIL(6),0.424,0.009,0.005,0.537,0.576,0.697,2.248
/datadrive/gpuverify-tests/OpenCL/null_pointers/null_pointer_assignment/kernel.cl,FAIL(6),0.416,0.013,0.006,0.457,0.577,0.622,2.091
/datadrive/gpuverify-tests/OpenCL/null_pointers/non_null_pointer_assignment/kernel.cl,FAIL(6),0.420,0.009,0.017,0.538,0.589,0.656,2.228
/datadrive/gpuverify-tests/OpenCL/null_pointers/function_prototype_or_local/kernel.cl,FAIL(6),0.377,0.018,0.010,0.538,0.582,0.816,2.341
/datadrive/gpuverify-tests/OpenCL/null_pointers/null_pointer_assignment_equal/kernel.cl,FAIL(6),0.462,0.009,0.005,0.500,0.577,0.656,2.210
/datadrive/gpuverify-tests/OpenCL/null_pointers/null_pointer_choice/kernel.cl,FAIL(6),0.415,0.011,0.005,0.455,0.540,0.576,2.003
/datadrive/gpuverify-tests/OpenCL/null_pointers/null_pointer_assignment_function/kernel.cl,FAIL(6),0.437,0.011,0.009,0.495,0.581,0.619,2.153
/datadrive/gpuverify-tests/OpenCL/null_pointers/null_pointer_assignment_unequal/kernel.cl,FAIL(6),0.415,0.009,0.007,0.499,0.576,0.631,2.137
/datadrive/gpuverify-tests/OpenCL/null_pointers/null_pointer_greater/kernel.cl,FAIL(6),0.417,0.009,0.006,0.497,0.578,0.659,2.166
/datadrive/gpuverify-tests/OpenCL/null_pointers/null_pointer_use_in_function/kernel.cl,FAIL(6),0.422,0.009,0.009,0.495,0.660,0.616,2.210
/datadrive/gpuverify-tests/OpenCL/null_pointers/null_pointer_use_in_function_inline/kernel.cl,FAIL(6),0.419,0.015,0.005,0.457,0.536,0.578,2.009
/datadrive/gpuverify-tests/OpenCL/null_pointers/store_to_null_and_non_null/kernel.cl,FAIL(6),0.417,0.009,0.005,0.420,0.556,0.588,1.995
/datadrive/gpuverify-tests/OpenCL/null_statement/kernel.cl,PASS,0.381,0.013,0.012,0.376,0.503,0.500,1.786
/datadrive/gpuverify-tests/OpenCL/pointeranalysistests/testbasicaliasing/kernel.cl,PASS,0.424,0.010,0.009,0.583,0.820,0.587,2.433
/datadrive/gpuverify-tests/OpenCL/pointeranalysistests/testbasicpointerarithmetic/kernel.cl,PASS,0.377,0.009,0.005,0.535,0.819,0.593,2.338
/datadrive/gpuverify-tests/OpenCL/pointeranalysistests/testbasicpointerarithmetic2/kernel.cl,PASS,0.379,0.016,0.006,0.541,0.739,0.594,2.276
/datadrive/gpuverify-tests/OpenCL/pointeranalysistests/testbasicaliasing2/kernel.cl,PASS,0.416,0.016,0.011,0.581,0.857,0.594,2.475
/datadrive/gpuverify-tests/OpenCL/pointeranalysistests/manyproceduresinlined/kernel.cl,PASS,0.422,0.018,0.011,0.535,0.657,1.020,2.663
/datadrive/gpuverify-tests/OpenCL/pointertests/pointerarith/kernel.cl,PASS,0.415,0.010,0.005,0.415,0.553,0.504,1.904
/datadrive/gpuverify-tests/OpenCL/pointertests/param_addressof/kernel.cl,PASS,0.376,0.009,0.005,0.456,0.660,0.625,2.131
/datadrive/gpuverify-tests/OpenCL/pointertests/test_copy_between_memory_spaces/kernel.cl,PASS,0.421,0.010,0.009,0.503,0.578,0.538,2.060
/datadrive/gpuverify-tests/OpenCL/pointeranalysistests/testinterprocedural_inlined/kernel.cl,PASS,0.455,0.009,0.009,0.576,0.942,0.536,2.526
/datadrive/gpuverify-tests/OpenCL/pointeranalysistests/testinterprocedural/kernel.cl,PASS,0.421,0.010,0.005,0.577,1.102,0.616,2.730
/datadrive/gpuverify-tests/OpenCL/pointeranalysistests/testinterprocedural2/kernel.cl,PASS,0.423,0.016,0.009,0.618,1.018,0.663,2.747
/datadrive/gpuverify-tests/OpenCL/pointertests/test_copy_between_memory_spaces2/kernel.cl,PASS,0.461,0.009,0.007,0.498,0.587,0.540,2.101
/datadrive/gpuverify-tests/OpenCL/pointertests/test_dereference_address_of/kernel.cl,PASS,0.415,0.020,0.036,0.419,0.501,0.458,1.850
/datadrive/gpuverify-tests/OpenCL/pointertests/test_opencl_local_array/kernel.cl,PASS,0.420,0.011,0.014,0.375,0.501,0.496,1.817
/datadrive/gpuverify-tests/OpenCL/pointertests/test_derived_from_binomial_opts/kernel.cl,PASS,0.418,0.010,0.009,0.415,0.537,0.536,1.924
/datadrive/gpuverify-tests/OpenCL/pointertests/test_opencl_local_param/kernel.cl,PASS,0.423,0.019,0.012,0.380,0.536,0.457,1.825
/datadrive/gpuverify-tests/OpenCL/pointertests/test_pass_address_of_local/kernel.cl,FAIL(6),0.419,0.010,0.006,0.422,0.542,0.619,2.019
/datadrive/gpuverify-tests/OpenCL/pointertests/test_pass_value_from_array/kernel.cl,PASS,0.423,0.017,0.013,0.457,0.657,0.539,2.107
/datadrive/gpuverify-tests/OpenCL/pointertests/test_return_pointer/kernel.cl,PASS,0.436,0.009,0.014,0.497,0.616,0.576,2.147
/datadrive/gpuverify-tests/OpenCL/privatememoryaccess/privatearraytest/kernel.cl,PASS,0.415,0.009,0.009,0.457,0.539,0.501,1.930
/datadrive/gpuverify-tests/OpenCL/pow2/64bit_loopcounter/kernel.cl,PASS,0.419,0.009,0.027,0.539,0.868,0.541,2.402
/datadrive/gpuverify-tests/OpenCL/predicated_undef/kernel.cl,PASS,0.427,0.012,0.009,0.464,0.617,0.557,2.085
/datadrive/gpuverify-tests/OpenCL/privatememoryaccess/privatevariabletest2/kernel.cl,PASS,0.417,0.009,0.018,0.376,0.510,0.460,1.790
/datadrive/gpuverify-tests/OpenCL/privatememoryaccess/privatevariabletest/kernel.cl,PASS,0.426,0.025,0.024,0.460,0.537,0.627,2.099
/datadrive/gpuverify-tests/OpenCL/reducedstrength_generalised/kernel.cl,PASS,0.385,0.009,0.006,0.537,0.786,0.575,2.299
/datadrive/gpuverify-tests/OpenCL/pointeranalysistests/manyprocedures/kernel.cl,FAIL(6),0.417,0.022,0.006,0.536,3.759,1.390,6.130
/datadrive/gpuverify-tests/OpenCL/return_tests/id_dependent_return/kernel.cl,PASS,0.417,0.019,0.008,0.415,0.496,0.457,1.813
/datadrive/gpuverify-tests/OpenCL/report_global_id/test1/kernel.cl,FAIL(6),0.455,0.009,0.008,0.457,0.535,0.701,2.166
/datadrive/gpuverify-tests/OpenCL/report_global_id/test2/kernel.cl,FAIL(6),0.416,0.009,0.012,0.466,0.577,0.696,2.177
/datadrive/gpuverify-tests/OpenCL/reducedstrengthnonloopbug/kernel.cl,FAIL(6),0.416,0.009,0.005,0.535,0.696,0.617,2.279
/datadrive/gpuverify-tests/OpenCL/return_tests/multiloop_return_simplified/kernel.cl,PASS,0.417,0.016,0.005,0.455,0.537,0.539,1.970
/datadrive/gpuverify-tests/OpenCL/return_tests/multiloop_return/kernel.cl,PASS,0.415,0.031,0.010,0.506,0.696,0.577,2.234
/datadrive/gpuverify-tests/OpenCL/return_tests/simple_return/kernel.cl,PASS,0.431,0.009,0.007,0.419,0.497,0.500,1.862
/datadrive/gpuverify-tests/OpenCL/rightshiftequals/kernel.cl,PASS,0.416,0.009,0.009,0.377,0.503,0.501,1.816
/datadrive/gpuverify-tests/OpenCL/saturate/uadd/kernel.cl,PASS,0.377,0.019,0.020,0.416,0.576,0.547,1.954
/datadrive/gpuverify-tests/OpenCL/saturate/sadd/kernel.cl,PASS,0.416,0.010,0.010,0.499,0.581,0.578,2.095
/datadrive/gpuverify-tests/OpenCL/saturate/ssub/kernel.cl,PASS,0.419,0.016,0.006,0.459,0.579,0.539,2.017
/datadrive/gpuverify-tests/OpenCL/saturate/usub/kernel.cl,PASS,0.416,0.015,0.020,0.457,0.577,0.541,2.026
/datadrive/gpuverify-tests/OpenCL/shared_int/kernel.cl,FAIL(6),0.415,0.011,0.006,0.417,0.537,0.664,2.049
/datadrive/gpuverify-tests/OpenCL/shuffle/shuffle/kernel.cl,PASS,0.464,0.009,0.008,0.455,0.617,0.657,2.209
/datadrive/gpuverify-tests/OpenCL/simpleparampassing/kernel.cl,PASS,0.419,0.016,0.014,0.417,0.543,0.498,1.907
/datadrive/gpuverify-tests/OpenCL/simpleprocedurecall/kernel.cl,PASS,0.466,0.009,0.004,0.376,0.546,0.509,1.910
/datadrive/gpuverify-tests/OpenCL/simplereturn/kernel.cl,PASS,0.417,0.009,0.005,0.455,0.536,0.496,1.918
/datadrive/gpuverify-tests/OpenCL/shuffle/shuffle2/kernel.cl,PASS,0.415,0.023,0.010,0.617,0.618,0.781,2.464
/datadrive/gpuverify-tests/OpenCL/skeletonbinomialoptions/kernel.cl,PASS,0.416,0.010,0.006,0.537,0.577,0.497,2.042
/datadrive/gpuverify-tests/OpenCL/sourcelocation_tests/barrier_divergence/pass/kernel.cl,PASS,0.455,0.010,0.010,0.456,0.578,0.536,2.045
/datadrive/gpuverify-tests/OpenCL/sourcelocation_tests/barrier_divergence/fail/kernel.cl,FAIL(6),0.416,0.012,0.007,0.456,0.583,0.626,2.100
/datadrive/gpuverify-tests/OpenCL/sourcelocation_tests/assert/kernel.cl,FAIL(6),0.420,0.010,0.006,0.501,0.627,0.579,2.143
