kernel,status,clang,opt,bugle,vcgen,cruncher,boogiedriver,total
/datadrive/gpuverify-tests/OpenCL/vectortests/float4initialisation/kernel.cl,PASS,0.416,0.030,0.028,0.914,0.737,0.737,2.861
/datadrive/gpuverify-tests/OpenCL/vectortests/int3arrayaccess/kernel.cl,PASS,0.418,0.010,0.006,0.502,0.616,0.741,2.292
/datadrive/gpuverify-tests/OpenCL/vectortests/int_vectors_big_test/kernel.cl,PASS,0.422,0.009,0.005,0.376,0.539,0.456,1.808
/datadrive/gpuverify-tests/OpenCL/vectortests/int3store/kernel.cl,PASS,0.418,0.007,0.010,0.416,0.545,0.500,1.896
/datadrive/gpuverify-tests/OpenCL/vectortests/int4initialisation/kernel.cl,PASS,0.458,0.015,0.006,0.375,0.500,0.497,1.851
/datadrive/gpuverify-tests/OpenCL/vectortests/float4arithmetic/kernel.cl,PASS,0.415,0.015,0.009,0.577,0.745,1.659,3.420
/datadrive/gpuverify-tests/OpenCL/vectortests/select/kernel.cl,PASS,0.426,0.011,0.005,0.417,0.538,0.779,2.177
/datadrive/gpuverify-tests/OpenCL/vectortests/test_paren/kernel.cl,PASS,0.376,0.009,0.005,0.455,0.586,0.500,1.932
/datadrive/gpuverify-tests/OpenCL/vectortests/test_mul_add/kernel.cl,PASS,0.388,0.016,0.009,0.497,0.583,0.584,2.075
/datadrive/gpuverify-tests/OpenCL/vectortests/vectorops/kernel.cl,PASS,0.377,0.010,0.006,0.419,0.460,0.457,1.729
/datadrive/gpuverify-tests/OpenCL/vectortests/vectorops2/kernel.cl,PASS,0.418,0.011,0.008,0.416,0.547,0.455,1.857
/datadrive/gpuverify-tests/OpenCL/vectortests/vectorreturn/kernel.cl,PASS,0.430,0.016,0.006,0.455,0.539,0.496,1.941
/datadrive/gpuverify-tests/OpenCL/vectortests/vectorsplat/kernel.cl,PASS,0.425,0.018,0.006,0.378,0.499,0.456,1.782
/datadrive/gpuverify-tests/OpenCL/vectortests/vectorswizzle/kernel.cl,PASS,0.417,0.010,0.005,0.380,0.496,0.496,1.803
/datadrive/gpuverify-tests/OpenCL/warpsync/broken_shuffle/kernel.cl,FAIL(6),0.377,0.008,0.005,0.456,0.536,0.701,2.083
/datadrive/gpuverify-tests/OpenCL/vectortests/double2arithmetic/kernel.cl,PASS,0.389,0.015,0.009,0.581,0.744,4.119,5.857
/datadrive/gpuverify-tests/OpenCL/warpsync/shuffle/kernel.cl,PASS,0.415,0.009,0.005,0.496,0.576,0.576,2.077
/datadrive/gpuverify-tests/OpenCL/warpsync/2d/kernel.cl,PASS,0.464,0.009,0.005,0.495,0.656,0.736,2.366
/datadrive/gpuverify-tests/OpenCL/warpsync/scan_warp/kernel.cl,PASS,0.415,0.009,0.006,0.495,0.616,0.857,2.399
/datadrive/gpuverify-tests/OpenCL/warpsync/intragroup_scan/kernel.cl,PASS,0.417,0.010,0.006,0.576,0.817,1.299,3.123
/datadrive/gpuverify-tests/CUDASamples/6_Advanced_eigenvalues_bisect_kernel_large_onei/kernel.cu,FAIL(6),0.134,0.018,0.014,1.097,132.810,7.721,141.794
