kernel,status,clang,opt,bugle,instrumentation,vcgen,cruncher,repair,total
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/vectortests/vectorswizzle/kernel.cl,PASS,0.457,0.021,0.005,0.254,0.376,0.502,0.537,2.153
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/warpsync/2d/kernel.cl,PASS,0.417,0.011,0.006,0.335,0.536,0.619,0.859,2.783
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/warpsync/broken_shuffle/kernel.cl,PASS,0.426,0.016,0.009,0.295,0.536,0.576,0.978,2.836
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/barrier_intervals/test4/kernel.cl,PASS,0.418,0.009,0.008,0.296,0.740,8.931,80.794,91.195
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/warpsync/shuffle/kernel.cl,PASS,0.427,0.010,0.006,0.295,0.536,0.659,0.740,2.673
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/vectortests/test_mul_add/kernel.cl,PASS,0.380,0.011,0.009,0.335,1.027,1.221,2.502,5.485
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/vectortests/float4arithmetic/kernel.cl,PASS,0.378,0.009,0.009,0.336,1.028,1.582,5.966,9.307
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/warpsync/scan_warp/kernel.cl,PASS,0.382,0.016,0.006,0.295,0.617,0.816,11.338,13.471
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/vectortests/double2arithmetic/kernel.cl,PASS,0.418,0.015,0.009,0.375,2.020,2.991,16.679,22.508
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/multiplelocals/kernel.cl,PASS,0.418,0.009,0.006,0.256,0.375,0.495,57.100,58.660
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/vectortests/float4initialisation/kernel.cl,PASS,0.417,0.015,0.028,0.860,20.217,11.054,29.441,62.032
/datadrive/gpurepair/Toolchain/testsuite/CUDASamples/6_Advanced_sortingNetworks_bitonicMergeShared/kernel.cu,PASS,0.136,0.020,0.006,0.296,0.776,231.605,35.108,267.947
