kernel,status,clang,opt,bugle,instrumentation,vcgen,cruncher,repair,total
/datadrive/gpurepair/tests/testsuite/OpenCL/expression_simplification/imp_consequent/kernel.cl,FAIL(201),0.419,0.009,0.008,0.295,0.579,0.739,0.817,2.866
/datadrive/gpurepair/tests/testsuite/OpenCL/expression_simplification/or_test/kernel.cl,FAIL(201),0.416,0.015,0.005,0.295,0.620,0.740,0.784,2.876
/datadrive/gpurepair/tests/testsuite/OpenCL/floatcastrequired/kernel.cl,PASS,0.415,0.009,0.006,0.255,0.375,0.495,0.576,2.131
/datadrive/gpurepair/tests/testsuite/OpenCL/function_wide/fail/not_at_end_for/kernel.cl,FAIL(4),0.416,0.015,0.007,0.000,0.000,0.000,0.000,0.438
/datadrive/gpurepair/tests/testsuite/OpenCL/function_wide/fail/not_at_end_if/kernel.cl,FAIL(4),0.422,0.016,0.006,0.000,0.000,0.000,0.000,0.443
/datadrive/gpurepair/tests/testsuite/OpenCL/function_wide/fail/uses_function/kernel.cl,FAIL(4),0.429,0.009,0.018,0.000,0.000,0.000,0.000,0.456
/datadrive/gpurepair/tests/testsuite/OpenCL/function_wide/fail/uses_params/kernel.cl,FAIL(4),0.415,0.009,0.005,0.000,0.000,0.000,0.000,0.430
/datadrive/gpurepair/tests/testsuite/OpenCL/floatrelationalop/kernel.cl,PASS,0.416,0.009,0.005,0.254,0.416,0.496,0.616,2.212
/datadrive/gpurepair/tests/testsuite/OpenCL/fresh_arrays/fail/global/kernel.cl,FAIL(202),0.425,0.015,0.005,0.296,0.497,0.580,0.696,2.515
/datadrive/gpurepair/tests/testsuite/OpenCL/fresh_arrays/pass/global/kernel.cl,PASS,0.421,0.009,0.006,0.300,0.466,0.580,0.697,2.479
/datadrive/gpurepair/tests/testsuite/OpenCL/fresh_arrays/pass/local/kernel.cl,PASS,0.419,0.015,0.006,0.301,0.502,0.576,0.701,2.520
/datadrive/gpurepair/tests/testsuite/OpenCL/function_wide/fail/assert_false/kernel.cl,FAIL(201),0.415,0.016,0.006,0.261,0.376,0.497,0.656,2.226
/datadrive/gpurepair/tests/testsuite/OpenCL/function_wide/pass/uses_uninterpreted_function/kernel.cl,PASS,0.416,0.009,0.005,0.255,0.376,0.498,0.586,2.144
/datadrive/gpurepair/tests/testsuite/OpenCL/get_global_offset/kernel.cl,PASS,0.420,0.016,0.009,0.258,0.419,0.498,0.577,2.196
/datadrive/gpurepair/tests/testsuite/OpenCL/get_global_id/kernel.cl,PASS,0.418,0.014,0.006,0.297,0.461,0.616,0.697,2.509
/datadrive/gpurepair/tests/testsuite/OpenCL/get_work_dim/work_dim_1/kernel.cl,PASS,0.415,0.021,0.009,0.256,0.390,0.497,0.620,2.206
/datadrive/gpurepair/tests/testsuite/OpenCL/function_wide/pass/uses_array_element/kernel.cl,PASS,0.421,0.015,0.009,0.300,0.576,0.865,0.987,3.173
/datadrive/gpurepair/tests/testsuite/OpenCL/get_work_dim/work_dim_2/kernel.cl,PASS,0.416,0.009,0.006,0.256,0.376,0.496,0.576,2.134
/datadrive/gpurepair/tests/testsuite/OpenCL/enabled/dominator/kernel.cl,FAIL(6),0.415,0.015,0.009,0.301,0.699,7.791,0.000,9.230
/datadrive/gpurepair/tests/testsuite/OpenCL/function_wide/pass/candidates/kernel.cl,FAIL(6),0.426,0.009,0.009,0.295,0.659,2.278,0.000,3.676
/datadrive/gpurepair/tests/testsuite/OpenCL/get_work_dim/work_dim_3/kernel.cl,PASS,0.439,0.011,0.007,0.255,0.377,0.537,0.617,2.241
/datadrive/gpurepair/tests/testsuite/OpenCL/global_size/simple/kernel.cl,PASS,0.419,0.009,0.006,0.295,0.541,0.588,0.777,2.634
/datadrive/gpurepair/tests/testsuite/OpenCL/globalarray/pass/kernel.cl,PASS,0.416,0.009,0.006,0.295,0.536,0.617,0.778,2.658
/datadrive/gpurepair/tests/testsuite/OpenCL/globalarray/pass2/kernel.cl,PASS,0.416,0.011,0.009,0.337,0.497,0.617,0.714,2.601
/datadrive/gpurepair/tests/testsuite/OpenCL/imagetests/testsampler/kernel.cl,PASS,0.423,0.015,0.006,0.295,0.499,0.582,0.701,2.522
/datadrive/gpurepair/tests/testsuite/OpenCL/async_work_group_copy/fail/test4/kernel.cl,PASS,0.378,0.009,0.006,0.295,0.657,0.938,38.661,40.944
/datadrive/gpurepair/tests/testsuite/OpenCL/imagetests/testsampler3/kernel.cl,PASS,0.419,0.009,0.006,0.295,0.418,0.541,0.663,2.351
/datadrive/gpurepair/tests/testsuite/OpenCL/imagetests/test2dimagecopy/kernel.cl,PASS,0.416,0.018,0.006,0.339,0.537,0.741,0.903,2.960
/datadrive/gpurepair/tests/testsuite/OpenCL/imagetests/testsampler2/kernel.cl,PASS,0.422,0.015,0.005,0.295,0.536,0.578,0.743,2.596
/datadrive/gpurepair/tests/testsuite/OpenCL/globalarray/fail/kernel.cl,FAIL(202),0.422,0.016,0.011,0.385,0.539,0.709,1.834,3.918
/datadrive/gpurepair/tests/testsuite/OpenCL/induction_variable/kernel.cl,PASS,0.419,0.009,0.008,0.335,0.576,0.738,0.716,2.801
/datadrive/gpurepair/tests/testsuite/OpenCL/function_wide/pass/as_candidates/kernel.cl,FAIL(201),0.419,0.020,0.009,0.295,0.656,3.950,2.061,7.411
/datadrive/gpurepair/tests/testsuite/OpenCL/barrier_intervals/test4/kernel.cl,PASS,0.498,0.015,0.009,0.345,0.778,9.211,17.017,27.874
